Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,BF-FD1,,134,100,0,357,2.6641791044776117,357,357,2.6641791044776117,2.6641791044776117,130.7983193277311,46695,1,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,DR-VLF,,134,100,0,357,2.6641791044776117,357,357,2.6641791044776117,2.6641791044776117,130.7983193277311,46695,1,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FD1,,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FR2,,19,14,0,27,0.20149253731343283,27,246,0.20149253731343283,1.835820895522388,3.9796747967479673,979,4,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FrW1,,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,3,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FrW2,,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,3,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FrW3,,1,1,0,3,0.022388059701492536,6,6,0.04477611940298507,0.04477611940298507,10.0,60,2,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,FrW4,,1,1,0,8,0.05970149253731343,8,8,0.05970149253731343,0.05970149253731343,7.0,56,3,0,48942
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,SF-FD1,,28,21,0,43,0.3208955223880597,43,362,0.3208955223880597,2.701492537313433,4.019337016574585,1455,0,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BF1_a,,73,54,50,74,0.5522388059701493,74,946,0.5522388059701493,7.059701492537314,24.352008456659618,23037,0.260274,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BF1_b,,129,96,100,249,1.8582089552238805,249,946,1.8582089552238805,7.059701492537314,24.352008456659618,23037,0.260274,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BF2_a,,79,59,50,79,0.5895522388059702,79,757,0.5895522388059702,5.649253731343284,18.61558784676354,14092,0.5643836,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BF2_b,,125,93,100,219,1.6343283582089552,219,757,1.6343283582089552,5.649253731343284,18.61558784676354,14092,0.5643836,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BK1,,64,48,50,130,0.9701492537313433,130,130,0.9701492537313433,0.9701492537313433,2.3153846153846156,301,4,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,BK2,,35,26,30,54,0.40298507462686567,54,90,0.40298507462686567,0.6716417910447762,2.2888888888888888,206,6,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,CF_a,,50,37,50,144,1.0746268656716418,144,232,1.0746268656716418,1.7313432835820894,9.762931034482758,2265,0,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,CF_b,,39,29,5,76,0.5671641791044776,76,232,0.5671641791044776,1.7313432835820894,9.762931034482758,2265,0,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,CF_c,,58,43,10,232,1.7313432835820894,232,232,1.7313432835820894,1.7313432835820894,9.762931034482758,2265,0,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,LF1_P,,28,21,75,54,0.40298507462686567,54,143,0.40298507462686567,1.0671641791044777,5.293706293706293,757,3,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,LF1_S,,87,65,75,229,1.708955223880597,229,638,1.708955223880597,4.7611940298507465,5.316614420062696,3392,3,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,LF2,,76,57,60,147,1.0970149253731343,147,434,1.0970149253731343,3.2388059701492535,5.21889400921659,2265,3,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,LF3,,74,55,60,185,1.3805970149253732,185,341,1.3805970149253732,2.544776119402985,3.771260997067449,1286,4,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,OB1,,28,21,20,43,0.3208955223880597,43,43,0.3208955223880597,0.3208955223880597,1.9534883720930232,84,8,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,OB2,,12,9,15,14,0.1044776119402985,14,14,0.1044776119402985,0.1044776119402985,2.0,28,0,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,SF1_P,,126,94,100,310,2.3134328358208953,310,826,2.3134328358208953,6.164179104477612,13.78450363196126,11386,1,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,SF1_S,,130,97,100,426,3.1791044776119404,426,1087,3.1791044776119404,8.111940298507463,14.733210671573136,16015,1,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,SF2,,40,30,25,50,0.373134328358209,50,1419,0.373134328358209,10.58955223880597,3.248062015503876,4609,8,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,VF_a,,64,48,50,64,0.47761194029850745,64,796,0.47761194029850745,5.940298507462686,45.72738693467337,36399,0.0082192,0,48942
CW_416011_flow_level,416011,Reedy Creek Water Source,NSW,NSW Border Rivers,VF_b,,119,89,100,120,0.8955223880597015,120,796,0.8955223880597015,5.940298507462686,45.72738693467337,36399,0.0219178,0,48942
