LTWPShortName,Env_obj,Objective,Target,state
Warrego Paroo Bulloo Nebine,Q-EF3,Decrease the length of no flow spells that threaten waterhole persistence and/or habitat quality,Ecosystem Functions,QLD
Warrego Paroo Bulloo Nebine,Q-EF4,Increase the frequency of scouring flows that maintain waterhole depth,Ecosystem Functions,QLD
Warrego Paroo Bulloo Nebine,Q-EF5,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Ecosystem Functions,QLD
Warrego Paroo Bulloo Nebine,Q-EF6,Maintain or increase the frequency or duration of flows that create connectivity with floodplains.,Ecosystem Functions,QLD
Warrego Paroo Bulloo Nebine,Q-NF1,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Native Fish,QLD
Warrego Paroo Bulloo Nebine,Q-NF2,"Improve resilience of fish populations by allowing opportunities for fish to move between reaches, including passage past barriers",Native Fish,QLD
Warrego Paroo Bulloo Nebine,Q-NF3,Improve breeding opportunities for flow-spawning fish,Native Fish,QLD
Warrego Paroo Bulloo Nebine,Q-NF4,Improve opportunities for fish to move between main channels and floodplains,Native Fish,QLD
Warrego Paroo Bulloo Nebine,Q-OS1,"Critical habitat for eastern snake-necked turtles, including for breeding",Other Species,QLD
Warrego Paroo Bulloo Nebine,Q-OS2,Improve breeding opportunities for flow-spawning and wetland specialist fish and  turtles.,Other Species,QLD
Warrego Paroo Bulloo Nebine,Q-OS3,Increase frequency of flow events that provide breeding opportunities for turtles in floodplain wetlands,Other Species,QLD
Warrego Paroo Bulloo Nebine,Q-WB1,Improve opportunities for successful bird breeding in floodplain wetlands,Waterbirds,QLD
Warrego Paroo Bulloo Nebine,Q-WB2,Increase frequency/duration of flows that trigger bird breeding opportunities and sustain adults and fledgelings,Waterbirds,QLD
Condamine and Balonne,Q-EF3,Decrease the length of no flow spells that threaten waterhole persistence and/or habitat quality,Ecosystem Functions,QLD
Condamine and Balonne,Q-EF4,Increase the frequency of scouring flows that maintain waterhole depth,Ecosystem Functions,QLD
Condamine and Balonne,Q-EF5,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Ecosystem Functions,QLD
Condamine and Balonne,Q-EF7,Increase frequency and/or duration of low in-channel flows that provide longitudinal connectivity between neighbouring waterholes.,Ecosystem Functions,QLD
Condamine and Balonne,Q-NF1,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Native Fish,QLD
Condamine and Balonne,Q-NF2,"Improve resilience of fish populations by allowing opportunities for fish to move between reaches, including passage past barriers",Native Fish,QLD
Condamine and Balonne,Q-NF3,Improve breeding opportunities for flow-spawning fish,Native Fish,QLD
Condamine and Balonne,Q-NF6,Increase frequency and/or duration of low in-channel flows that provide longitudinal connectivity between neighbouring waterholes for Native Fish outcomes.,Native Fish,QLD
Condamine and Balonne,Q-NF7,Increase duration of flow events that provide egg and larval development conditions for stable low-flow spawning fish.,Native Fish,QLD
Condamine and Balonne,Q-NV1,Improve condition of vegetation that supports bird breeding,Native Vegetation,QLD
Condamine and Balonne,Q-WB2,Increase frequency/duration of flows that trigger bird breeding opportunities and sustain adults and fledgelings,Waterbirds,QLD
Condamine and Balonne,Q-WB3,Increase opportunities for successful bird breeding,Waterbirds,QLD
Border Rivers and Moonie,Q-EF1,Increased frequency of flow events that fill anabranches to allow primary production.,Ecosystem Functions,QLD
Border Rivers and Moonie,Q-EF2,Improve opportunities for exchange of nutrients and energy between the anabranches and main channels.,Ecosystem Functions,QLD
Border Rivers and Moonie,Q-EF4,Increase the frequency of scouring flows that maintain waterhole depth,Ecosystem Functions,QLD
Border Rivers and Moonie,Q-EF5,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Ecosystem Functions,QLD
Border Rivers and Moonie,Q-EF8,Increase the frequency or duration of flows that create connectivity with anabranches.,Ecosystem Functions,QLD
Border Rivers and Moonie,Q-NF1,Increase frequency and/or duration of medium and high flows that provide longitudinal connectivity between river reaches.,Native Fish,QLD
Border Rivers and Moonie,Q-NF2,"Improve resilience of fish populations by allowing opportunities for fish to move between reaches, including passage past barriers",Native Fish,QLD
Border Rivers and Moonie,Q-NF3,Improve breeding opportunities for flow-spawning fish,Native Fish,QLD
Border Rivers and Moonie,Q-NF5,Improve breeding opportunities for flow-spawning and wetland specialist fish,Native Fish,QLD
Border Rivers and Moonie,Q-NF7,Increase duration of flow events that provide egg and larval development conditions for stable low-flow spawning fish.,Native Fish,QLD
Border Rivers and Moonie,Q-NF8,Increase the frequency or duration of flows that create connectivity with anabranches.,Native Fish,QLD
Border Rivers and Moonie,Q-EF3,Decrease the length of no flow spells that threaten waterhole persistence and/or habitat quality,Ecosystem Functions,QLD
Warrego Paroo Bulloo Nebine,Q-NF9,Increase frequency of flow events that provide breeding opportunities for wetland specialist fish,Native Fish,QLD
NSW Border Rivers,NF1,No loss of native fish species,Native Fish,NSW
NSW Border Rivers,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
NSW Border Rivers,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
NSW Border Rivers,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
NSW Border Rivers,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
NSW Border Rivers,NF6,A 25 percent increase in abundance of mature (harvestable-sized) golden perch and Murray cod,Native Fish,NSW
NSW Border Rivers,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
NSW Border Rivers,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
NSW Border Rivers,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
NSW Border Rivers,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
NSW Border Rivers,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
NSW Border Rivers,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
NSW Border Rivers,NV4a,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum forest),Native Vegetation,NSW
NSW Border Rivers,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
NSW Border Rivers,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
NSW Border Rivers,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
NSW Border Rivers,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
NSW Border Rivers,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
NSW Border Rivers,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
NSW Border Rivers,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
NSW Border Rivers,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
NSW Border Rivers,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
NSW Border Rivers,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
NSW Border Rivers,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
NSW Border Rivers,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
NSW Border Rivers,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
NSW Border Rivers,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Namoi,NF1,No loss of native fish species,Native Fish,NSW
Namoi,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Namoi,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Namoi,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Namoi,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Namoi,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Namoi,NF7,MISSING_FROM_LTWP,Native Fish,NSW
Namoi,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Namoi,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Namoi,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Namoi,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Namoi,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Namoi,NV4a,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (River red gum forest)",Native Vegetation,NSW
Namoi,NV4b,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (River red gum woodland)",Native Vegetation,NSW
Namoi,NV4c,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Black box woodland)",Native Vegetation,NSW
Namoi,NV4d,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Coolibah woodland)",Native Vegetation,NSW
Namoi,NV4e,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Lignum shrublands)",Native Vegetation,NSW
Namoi,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Namoi,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Namoi,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Namoi,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Namoi,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Namoi,EF3a,Provide movement and dispersal opportunities within catchments for water dependent biota to complete lifecycles (within catchment),Ecosystem Functions,NSW
Namoi,EF3b,Provide movement and dispersal opportunities within catchments for water dependent biota to complete lifecycles (between catchments),Ecosystem Functions,NSW
Namoi,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Namoi,EF5,"Support nutrient, carbon and sediment transport along channels, and between channels and floodplains/wetlands",Ecosystem Functions,NSW
Namoi,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Functions,NSW
Namoi,EF7,Maintain and improve the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Functions,NSW
Macquarie-Castlereagh,NF1,No loss of native fish species,Native Fish,NSW
Macquarie-Castlereagh,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Macquarie-Castlereagh,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Macquarie-Castlereagh,NF4,Improve population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Macquarie-Castlereagh,NF5,Improve population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Macquarie-Castlereagh,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch & Murray cod,Native Fish,NSW
Macquarie-Castlereagh,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Macquarie-Castlereagh,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Macquarie-Castlereagh,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialists native fish species into new areas (within historical range),Native Fish,NSW
Macquarie-Castlereagh,NV1,Maintain or improve the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Macquarie-Castlereagh,NV2,Maintain or increase the extent and viability of non-woody vegetation communities in wetlands and on floodplains,Native Vegetation,NSW
Macquarie-Castlereagh,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Macquarie-Castlereagh,NV4a,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (River red gum forest)",Native Vegetation,NSW
Macquarie-Castlereagh,NV4b,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (River red gum woodland)",Native Vegetation,NSW
Macquarie-Castlereagh,NV4c,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Black box woodland)",Native Vegetation,NSW
Macquarie-Castlereagh,NV4d,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Coolibah woodland)",Native Vegetation,NSW
Macquarie-Castlereagh,NV4e,"Maintain or increase the extent and maintain or improve the condition of native forest, woodland and shrubland communities on floodplains (Lignum shrublands)",Native Vegetation,NSW
Macquarie-Castlereagh,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Macquarie-Castlereagh,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Macquarie-Castlereagh,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Macquarie-Castlereagh,WB4,Increase opportunities for colonial waterbird breeding,Waterbirds,NSW
Macquarie-Castlereagh,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Macquarie-Castlereagh,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Macquarie-Castlereagh,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Macquarie-Castlereagh,EF3a,Provide movement and dispersal opportunities within catchments for water-dependent biota to complete lifecycles (within catchment),Ecosystem Functions,NSW
Macquarie-Castlereagh,EF3b,Provide movement and dispersal opportunities within catchments for water-dependent biota to complete lifecycles (between catchments),Ecosystem Functions,NSW
Macquarie-Castlereagh,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Macquarie-Castlereagh,EF5,"Support nutrient, carbon and sediment transport along channels, and between channels and floodplains/wetlands",Ecosystem Functions,NSW
Macquarie-Castlereagh,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Macquarie-Castlereagh,EF7,Increase the contribution of flows into the Murray and Barwon-Darling from tributaries,Ecosystem Functions,NSW
Macquarie-Castlereagh,OS1,Maintain species richness and distribution of flow-dependent frog communities,Other Species,NSW
Macquarie-Castlereagh,OS2,Maintain successful breeding opportunities for flow-dependent frog species,Other Species,NSW
Gwydir,NF1,No loss of native fish species,Native Fish,NSW
Gwydir,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Gwydir,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Gwydir,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Gwydir,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Gwydir,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Gwydir,NF7,Increase the prevalence and/or expand the population of key short to moderate-lived floodplain specialist native fish species into new areas (within historical range),Native Fish,NSW
Gwydir,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Gwydir,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Gwydir,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Gwydir,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Gwydir,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Gwydir,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Gwydir,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Gwydir,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrubland),Native Vegetation,NSW
Gwydir,NV4f,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah wetland woodland),Native Vegetation,NSW
Gwydir,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Gwydir,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Gwydir,WB3,Increase opportunities for non-colonial nesting waterbird breeding,Waterbirds,NSW
Gwydir,WB4,Increase opportunities for colonial nesting waterbird breeding,Waterbirds,NSW
Gwydir,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Gwydir,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Gwydir,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Gwydir,EF3a,Provide movement and dispersal opportunities for water-dependent biota to complete lifecycles and disperse into new habitats (within catchment),Ecosystem Functions,NSW
Gwydir,EF3b,Provide movement and dispersal opportunities for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments),Ecosystem Functions,NSW
Gwydir,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Gwydir,EF5,"Support nutrient, carbon and sediment transport along channels, and between channels and floodplains/wetlands",Ecosystem Functions,NSW
Gwydir,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Functions,NSW
Gwydir,OS1,Maintain species richness and distribution of flow-dependent frog communities,Other Species,NSW
Gwydir,OS2,Maintain successful breeding opportunities for flow-dependent frog species,Other Species,NSW
Gwydir,OS3,Maintain water-dependent species richness,Other Species,NSW
Barwon-Darling,NF1,No loss of native fish species,Native Fish,NSW
Barwon-Darling,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Barwon-Darling,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Barwon-Darling,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Barwon-Darling,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Barwon-Darling,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Barwon-Darling,NF7,MISSING_FROM_LTWP,Native Fish,NSW
Barwon-Darling,NF8,Increase the prevalence and/or expand the population of key moderate to long-lived riverine specialist native fish species into new areas (within historical range),Native Fish,NSW
Barwon-Darling,NF9,Increase the prevalence and/or expand the population of key moderate to long-lived flow pulse specialist native fish species into new areas (within historical range),Native Fish,NSW
Barwon-Darling,NV1,Maintain the extent and viability of non-woody vegetation communities occurring within channels,Native Vegetation,NSW
Barwon-Darling,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Barwon-Darling,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Barwon-Darling,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Barwon-Darling,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Barwon-Darling,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Barwon-Darling,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Barwon-Darling,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Barwon-Darling,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Barwon-Darling,WB4,Increase opportunities for colonial waterbird breeding,Waterbirds,NSW
Barwon-Darling,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Barwon-Darling,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Barwon-Darling,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Barwon-Darling,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats (within catchment),Ecosystem Functions,NSW
Barwon-Darling,EF3b,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats (between catchments),Ecosystem Functions,NSW
Barwon-Darling,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Barwon-Darling,EF5,"Support nutrient, carbon and sediment transport along channels, and between channels and floodplains/wetlands",Ecosystem Functions,NSW
Barwon-Darling,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Functions,NSW
Barwon-Darling,EF7,Increase the contribution of flows into the Lower-Darling and Murray,Ecosystem Functions,NSW
Intersecting Streams,NF1,No loss of native fish species,Native Fish,NSW
Intersecting Streams,NF2,Increase the distribution and abundance of short to moderate-lived generalist native fish species,Native Fish,NSW
Intersecting Streams,NF3,Increase the distribution and abundance of short to moderate-lived floodplain specialist native fish species,Native Fish,NSW
Intersecting Streams,NF4,Improve native fish population structure for moderate to long-lived flow pulse specialist native fish species,Native Fish,NSW
Intersecting Streams,NF5,Improve native fish population structure for moderate to long-lived riverine specialist native fish species,Native Fish,NSW
Intersecting Streams,NF6,A 25% increase in abundance of mature (harvestable sized) golden perch and Murray cod,Native Fish,NSW
Intersecting Streams,NV1,Maintain the extent of non-woody vegetation communities occurring within or closely fringing channels,Native Vegetation,NSW
Intersecting Streams,NV2,Maintain or increase the extent and maintain the viability of non-woody vegetation communities occurring in wetlands and on floodplains,Native Vegetation,NSW
Intersecting Streams,NV3,Maintain the extent and improve the condition of river red gum communities closely fringing river channels,Native Vegetation,NSW
Intersecting Streams,NV4b,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (River red gum woodland),Native Vegetation,NSW
Intersecting Streams,NV4c,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Black box woodland),Native Vegetation,NSW
Intersecting Streams,NV4d,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Coolibah woodland),Native Vegetation,NSW
Intersecting Streams,NV4e,Maintain or increase the extent and maintain or improve the condition of native woodland and shrubland communities on floodplains (Lignum shrublands),Native Vegetation,NSW
Intersecting Streams,WB1,Maintain the number and type of waterbird species,Waterbirds,NSW
Intersecting Streams,WB2,Increase total waterbird abundance across all functional groups,Waterbirds,NSW
Intersecting Streams,WB3,Increase opportunities for non-colonial waterbird breeding,Waterbirds,NSW
Intersecting Streams,WB4,Increase opportunities for colonial waterbird breeding,Waterbirds,NSW
Intersecting Streams,WB5,Maintain the extent and improve condition of waterbird habitats,Waterbirds,NSW
Intersecting Streams,EF1,Provide and protect a diversity of refugia across the landscape,Ecosystem Functions,NSW
Intersecting Streams,EF2,"Create quality instream, floodplain and wetland habitat",Ecosystem Functions,NSW
Intersecting Streams,EF3a,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (within catchments)",Ecosystem Functions,NSW
Intersecting Streams,EF3b,"Provide movement and dispersal opportunities within, and between, catchments for water-dependent biota to complete lifecycles and disperse into new habitats (between catchments)",Ecosystem Functions,NSW
Intersecting Streams,EF4,Support instream and floodplain productivity,Ecosystem Functions,NSW
Intersecting Streams,EF5,"Support nutrient, carbon and sediment transport along channels, and exchange between channels and floodplains/wetlands",Ecosystem Functions,NSW
Intersecting Streams,EF6,Support groundwater conditions to sustain groundwater-dependent biota,Ecosystem Functions,NSW
Intersecting Streams,EF7,Increase contribution from Intersecting Streams to Barwon-Darling,Ecosystem Functions,NSW
