PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,LF1_P,8,10,100,,,1,14,14,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,LF1_S,8,10,100,,,1,7,7,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,LF2,2,4,100,,,1,2,2,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,SF1,10,4,100,,,1,10,10,150,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+F1+F2+PEF3b+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,SF2,7,6,100,,,1,3,3,150,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+F1+F2+PEF3b+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_1,1,1,100,,,1,,,,,,,,V,,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_2,2,2,100,,,1,,,,,,,,V,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_3,3,3,100,,,1,,,,,,,,V,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_4,4,4,100,,,1,,,,,,,,V,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_5,5,5,100,,,1,,,,,,,,V,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_6,6,6,100,,,1,,,,,,,,V,,,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_7,7,7,100,,,1,,,,,,,,V,,,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_8,8,8,100,,,1,,,,,,,,V,,,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_9,9,9,100,,,1,,,,,,,,V,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_10,10,10,100,,,1,,,,,,,,V,,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_11,11,11,100,,,1,,,,,,,,V,,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Corin Dam,410752,BF1_12,12,12,100,,,1,,,,,,,,V,,,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,LF1_P,8,10,100,,,1,14,14,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,LF1_S,8,10,100,,,1,7,7,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,LF2,2,4,100,,,1,2,2,550,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+F1+PEF3a+F2+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,SF1,10,4,100,,,1,10,10,150,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+F1+F2+PEF3b+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,SF2,7,6,100,,,1,3,3,150,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+F1+F2+PEF3b+PEF4+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_1,1,1,100,,,1,,,,,,,,V,,,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_2,2,2,100,,,1,,,,,,,,V,,,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_3,3,3,100,,,1,,,,,,,,V,,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_4,4,4,100,,,1,,,,,,,,V,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_5,5,5,100,,,1,,,,,,,,V,,,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_6,6,6,100,,,1,,,,,,,,V,,,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_7,7,7,100,,,1,,,,,,,,V,,,2201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_8,8,8,100,,,1,,,,,,,,V,,,3007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_9,9,9,100,,,1,,,,,,,,V,,,4320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_10,10,10,100,,,1,,,,,,,,V,,,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_11,11,11,100,,,1,,,,,,,,V,,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,O2+PEF5+F1+F2+PEF3b+F4
,Cotter River (CR1): Below Corin Dam to Cotter Reservoir  ,ACT,Cotter River below Bendora Dam,410747,BF1_12,12,12,100,,,1,,,,,,,,V,,,1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.45,PEF5+F1+F2+PEF3b+F4
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,LF1_P,8,10,100,,,1,14,14,900,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3a+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,LF1_S,8,10,100,,,1,7,7,543,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3a+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,SF1_P,10,4,100,,,1,10,10,120,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3b+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,SF1_S,10,4,100,,,1,10,10,72,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3b+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,SF2_P,7,6,100,,,1,3,3,120,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3b+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,SF2_S,7,6,100,,,1,3,3,72,,0.1666666,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,O2+PEF3b+PEF4+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_1,1,1,100,,,1,,,40,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
,Cotter River (CR2): Below Cotter Dam ,ACT,Cotter at Kiosk,410700,BF1_2,2,2,100,,,1,,,40,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACT,Australian Capital Territory (Surface Water),Australian Capital Territory (Surface Water),,-35.53,PEF5+O2+V1+O5
