PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,EnvObj
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF1_a,12,5,70,,,1,140,1,5,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF1_c,12,5,100,,,1,140,1,2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF2_a,4,11,70,,,1,202,1,9,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF2_c,4,11,100,,,1,202,1,5,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F1_a,12,3,70,,,4,3,3,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F1_c,12,3,100,,,1,3,3,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F2_a,6,11,70,,,4,5,5,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F2_c,6,11,100,,,1,3,3,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,LF1,6,11,70,,,3,3,3,248,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S5+V-S6+V-S7
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_a,12,5,30,,,1,122,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_b,12,5,70,,,1,122,1,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_c,12,5,100,,,1,122,1,9,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_a,6,11,30,,,1,122,1,180,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_b,6,11,70,,,1,122,1,90,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_c,6,11,100,,,1,122,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BK1,7,6,,,,1,2,2,8000,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-3+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_a,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_b,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_c,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,F1_a,12,5,30,,,3,2,2,125,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-3
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,F1_b,12,5,70,,,3,2,2,75,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-3
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,F1_c,12,5,100,,,3,2,2,50,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-3
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,LF1,7,11,40,,,2,2,2,1800,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,OB1,7,6,,,,1,1,1,10800,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,SF1_a,7,10,30,,,1,2,2,1500,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BF1_a,12,4,30,,,1,91,1,5,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-V1+V-V2+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BF1_b,12,4,70,,,1,91,1,3,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-V1+V-V2+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BF1_c,12,4,100,,,1,91,1,1,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-V1+V-V2+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BF2_a,5,11,30,,,1,154,1,23,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-V1+V-V2+V-V3+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BF2_c,5,11,100,,,1,154,1,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-V1+V-V2+V-V3+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,BK1,6,8.15,33,,,1,1,1,5400,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-G1+V-G2+V-V3
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,F1,11,3,100,,,2,3,3,23,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-G2+V-V1+V-V2+V-V3+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,F2,5,11,70,,,2,3,3,144,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-G2+V-V1+V-V2+V-V3+V-F1+V-F2+V-M1+V-P1
PU_0000210,Coliban River at Reach 1,Coliban River EWMP,Coliban River at Malmsbury Rail Bridge,406200,LF1,11,3,,20,25,1,3,3,144,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-G2+V-V1+V-V2+V-V3+V-F1+V-F2+V-WQ1+V-M1+V-P1
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,BF1,12,5,70,,,1,140,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.1+V-PF2.3+V-SV1+V-SV2+V-SV3+V-SB1+V-SM1+V-SWQ1
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,BF2,6,11,100,,,1,140,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,F1,12,5,100,,,2,3,3,90,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-SV1+V-SV2+V-SV3+V-PP1+V-SG2+V-SB1+V-SM1
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,LF1,4,5,70%,,,1,6,6,225,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PP1+V-PV2+V-SV2+V-SV3+V-SG2 
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,LF2,9.15,10.15,,,,1,7,7,360,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2 
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,BF1,12,5,70,,,1,140,1,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.1+V-PF2.3+V-SV1+V-SV2+V-SV3+V-SB1+V-SM1+V-SWQ1
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,BF2,6,11,100,,,1,140,1,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,F1,12,5,100,,,2,3,3,68,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-SV1+V-SV2+V-SV3+V-PP1+V-SG2+V-SB1+V-SM1
,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,LF1_platypus,4,5,70%,,,1,6,6,200,300,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PP1
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,LF1,4,5,70%,,,1,6,6,225,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PP1+V-PV2+V-SV2+V-SV3+V-SG2 
PU_0000172,Loddon River: Mid Loddon River System at Reach 4a,Loddon River EWMP,Loddon River at Loddon Weir,407224,LF3,9.15,10.15,,,,1,7,7,585,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-PV2+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2 
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,LF2,9.15,10.15,,,,1,7,7,360,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2 
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,BF1,12,5,100,,,1,140,1,54,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.1+V-PF2.3+V-SV1+V-SV2+V-SV3+V-SB1+V-SM1+V-SWQ1
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,BF2_partA,6,11,100,,,1,183,1,54,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,BK1,7,6,,30,40,1,4,4,1800,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF1.2+V-PF1.3+V-SV1+V-SV3+V-SG1+V-SG2
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,F1,9,10,70,,,1,10,10,585,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,F2,9,10,70,,,1,10,10,810,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-PV2+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,F3,12,5,100,,,2,3,3,198,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-SV1+V-SV2+V-SV3+V-PP1+V-SG2+V-SB1+V-SM1
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,LF1,3,4,70,,,1,10,10,585,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF 2.2+V-PF 2.3
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,BF1,12,5,70,,,1,140,1,180,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.1+V-PF2.3+V-SV1+V-SV2+V-SV3+V-SB1+V-SM1+V-SWQ1
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,BF2_partB,6,11,100,,,1,140,1,180,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,BF2_partA,6,11,100,,,1,183,1,81,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,F1,9,10,70,,,1,10,10,585,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,F2,9,10,70,,,1,10,10,810,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-PV2+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2
PU_0000180,Loddon River: Lower Loddon River at Reach 5,Loddon River EWMP,Loddon River at Kerang,407202,LF2,3,4,70,,,1,10,10,810,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF 2.2+V-PF 2.3
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,LF1,3,4,70,,,1,10,10,585,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF 2.2+V-PF 2.3
PU_SS20001,Gunbower Forest,Gunbower Forest EWMP,Murray River at Torrumbarry,409207,F1,7,10,75,60,90,1,1,1,100,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-NV1+V-NV2+V-NV3+V-NF1+V-OS1
PU_SS20001,Gunbower Forest,Gunbower Forest EWMP,Murray River at Torrumbarry,409207,F2,6,11,65,60,70,1,90,90,1600,,3,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-NV1+V-NV2+V-NV3+V-NF1+V-OS1
PU_SS20001,Gunbower Forest,Gunbower Forest EWMP,Murray River at Torrumbarry,409207,F3,9,2,30,,,1,1,1,300,,5,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-WB1+V-NF1+V-OS1
PU_SS20005,Gunbower creek reach 3b,Gunbower creek system EWMP,Gunbower creek at Koondrook,407209,BF1,5.15,8.15,100,,,1,90,1,150,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-1.1+V-1.2+V-1.3+V-1.4+V-1.5+V-1.6+V-1.8
PU_SS20005,Gunbower creek reach 3b,Gunbower creek system EWMP,Gunbower creek at Koondrook,407209,BF2,8.15,5.15,100,,,1,90,1,150,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-1.2+V-1.4
PU_SS20005,Gunbower creek reach 3b,Gunbower creek system EWMP,Gunbower creek at Koondrook,407209,F1,10.15,4,,,,1,5,5,600,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-1.1+V-1.2+V-1.3
PU_SS20005,Gunbower creek reach 3b,Gunbower creek system EWMP,Gunbower creek at Koondrook,407209,F2,5.15,8.25,,,,1,30,30,50,15000,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Victorian Murray,,,V-1.1+1.2+1.3+1.4+1.5+1.6
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,SF1_b,7,10,70,,,1,2,2,1300,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,SF1_c,7,10,100,,,1,2,2,1000,,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-2.1+V-2.2+V-3+V-4+V-5
PU_0000175,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,LF3,9.15,10.15,,,,1,7,7,585,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.2+V-PF2.3+V-PV1+V-PV2+V-SV2+V-SV3+V-SWQ1+V-SG1+V-SG2 
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,BF2_partB,6,11,100,,,1,140,1,198,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF2.3+V-SV2+V-PP1+V-SB1+V-SM1
PU_0000181,Pyramid Creek at Whole Creek,Loddon River EWMP,Box Creek at Mansfield Bridge,407295,LF2,3,4,70,,,1,10,10,810,,2,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PF 2.2+V-PF 2.3
PU_SS80001,Boort wetlands,Loddon Wetlands proxy,Loddon River @ Loddon Weir,407224,Wetland_proxy,7,6,25,,,1,1,1,9619,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-BV1+V-BV2+V-BV3
PU_SS80002,Hird  wetland,Loddon Wetlands proxy,Pyramid Creek @ Flannery'S Bridge,407294,Wetland_proxy,7,6,25,,,1,1,1,,,,,,L,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,VIC,,Loddon,,,V-HJV1+V-HJEF1+V-HJV2+V-HJV3+V-HJV4+V-HJV5+V-HJWB1+V-HJWB2+V-HJEF2
PU_SS80002,Johnson wetland,Loddon Wetlands proxy,Pyramid Creek @ Flannery'S Bridge,407294,Wetland_proxy,7,6,25,,,1,1,1,,,,,,L,79.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,VIC,,Loddon,,,V-HJV1+V-HJEF1+V-HJV2+V-HJV3+V-HJV4+V-HJV5+V-HJWB1+V-HJWB2+V-HJEF2
PU_SS80003,Lake Elizabeth,Loddon Wetlands proxy,Wandella Creek @ Fairley,407286,Wetland_proxy,7,6,25,,,1,1,1,813,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-LEV1+V-LEV2+V-LEV3+V-LEWB1+V-LEWB2+V-LEO1+V-LEF1+V-LEEF1
,Loddon River: Mid Loddon River System at Reach 4d,Loddon River EWMP,Loddon River at Appin South,407205,LF1_platypus,4,5,70%,,,1,6,6,200,300,4,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-PP1
